DS_ESCOLARIDADE;DS_ESTADO_CIVIL;DS_GENERO;Cargo
SUPERIOR INCOMPLETO;DIVORCIADO(A);MASCULINO;VEREADOR
ENSINO MÉDIO COMPLETO;DIVORCIADO(A);FEMININO;VEREADOR
ENSINO MÉDIO INCOMPLETO;CASADO(A);MASCULINO;VEREADOR
SUPERIOR INCOMPLETO;SOLTEIRO(A);MASCULINO;PREFEITO
ENSINO MÉDIO COMPLETO;CASADO(A);FEMININO;VEREADOR
ENSINO FUNDAMENTAL COMPLETO;CASADO(A);FEMININO;VEREADOR
SUPERIOR COMPLETO;SOLTEIRO(A);MASCULINO;PREFEITO
ENSINO MÉDIO COMPLETO;CASADO(A);MASCULINO;VEREADOR
ENSINO MÉDIO COMPLETO;DIVORCIADO(A);MASCULINO;VEREADOR
SUPERIOR COMPLETO;SOLTEIRO(A);MASCULINO;VEREADOR
ENSINO MÉDIO COMPLETO;SOLTEIRO(A);FEMININO;VEREADOR
SUPERIOR COMPLETO;CASADO(A);MASCULINO;VEREADOR
ENSINO MÉDIO COMPLETO;CASADO(A);MASCULINO;VEREADOR
ENSINO MÉDIO COMPLETO;SOLTEIRO(A);MASCULINO;VEREADOR
SUPERIOR INCOMPLETO;CASADO(A);MASCULINO;PREFEITO
ENSINO MÉDIO COMPLETO;CASADO(A);FEMININO;VEREADOR
LÊ E ESCREVE;SOLTEIRO(A);MASCULINO;VEREADOR
ENSINO MÉDIO COMPLETO;CASADO(A);MASCULINO;VEREADOR
SUPERIOR COMPLETO;CASADO(A);FEMININO;VEREADOR
ENSINO MÉDIO INCOMPLETO;CASADO(A);FEMININO;VICE-PREFEITO
ENSINO MÉDIO COMPLETO;SOLTEIRO(A);MASCULINO;VEREADOR
SUPERIOR COMPLETO;CASADO(A);MASCULINO;VEREADOR
ENSINO MÉDIO INCOMPLETO;CASADO(A);MASCULINO;VEREADOR
ENSINO MÉDIO COMPLETO;CASADO(A);FEMININO;VEREADOR
ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);MASCULINO;VEREADOR
SUPERIOR COMPLETO;CASADO(A);MASCULINO;VEREADOR
ENSINO MÉDIO COMPLETO;SOLTEIRO(A);MASCULINO;PREFEITO
ENSINO MÉDIO INCOMPLETO;CASADO(A);MASCULINO;VEREADOR
ENSINO MÉDIO COMPLETO;CASADO(A);FEMININO;VEREADOR
ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);MASCULINO;VEREADOR
ENSINO MÉDIO COMPLETO;CASADO(A);MASCULINO;VEREADOR
ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);MASCULINO;VEREADOR
ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);FEMININO;VEREADOR
ENSINO MÉDIO COMPLETO;CASADO(A);FEMININO;VEREADOR
